,GEO,Value
0,European Union (28 countries),
1,European Union (28 countries),
2,European Union (28 countries),5.0
3,European Union (28 countries),5.03
4,European Union (28 countries),4.95
5,European Union (28 countries),4.92
6,European Union (28 countries),4.91
7,European Union (28 countries),4.92
8,European Union (28 countries),5.04
9,European Union (28 countries),5.38
10,European Union (28 countries),5.41
11,European Union (28 countries),5.25
12,European Union (27 countries),4.91
13,European Union (27 countries),4.99
14,European Union (27 countries),5.0
15,European Union (27 countries),5.04
16,European Union (27 countries),4.95
17,European Union (27 countries),4.92
18,European Union (27 countries),4.91
19,European Union (27 countries),4.93
20,European Union (27 countries),5.04
21,European Union (27 countries),5.38
22,European Union (27 countries),5.41
23,European Union (27 countries),5.25
24,European Union (25 countries),4.94
25,European Union (25 countries),5.02
26,European Union (25 countries),5.03
27,European Union (25 countries),5.06
28,European Union (25 countries),4.98
29,European Union (25 countries),4.95
30,European Union (25 countries),4.93
31,European Union (25 countries),4.95
32,European Union (25 countries),5.06
33,European Union (25 countries),5.41
34,European Union (25 countries),5.46
35,European Union (25 countries),5.31
36,Euro area (18 countries),
37,Euro area (18 countries),
38,Euro area (18 countries),4.87
39,Euro area (18 countries),4.89
40,Euro area (18 countries),4.8
41,Euro area (18 countries),4.72
42,Euro area (18 countries),4.69
43,Euro area (18 countries),4.79
44,Euro area (18 countries),4.94
45,Euro area (18 countries),5.31
46,Euro area (18 countries),5.28
47,Euro area (18 countries),5.15
48,Euro area (17 countries),
49,Euro area (17 countries),
50,Euro area (17 countries),4.86
51,Euro area (17 countries),4.89
52,Euro area (17 countries),4.8
53,Euro area (17 countries),4.72
54,Euro area (17 countries),4.69
55,Euro area (17 countries),4.79
56,Euro area (17 countries),4.94
57,Euro area (17 countries),5.31
58,Euro area (17 countries),5.28
59,Euro area (17 countries),5.15
60,Euro area (15 countries),
61,Euro area (15 countries),4.98
62,Euro area (15 countries),5.01
63,Euro area (15 countries),5.04
64,Euro area (15 countries),4.96
65,Euro area (15 countries),4.89
66,Euro area (15 countries),4.87
67,Euro area (15 countries),4.81
68,Euro area (15 countries),4.95
69,Euro area (15 countries),5.32
70,Euro area (15 countries),5.29
71,Euro area (15 countries),5.16
72,Euro area (13 countries),
73,Euro area (13 countries),4.97
74,Euro area (13 countries),5.0
75,Euro area (13 countries),5.04
76,Euro area (13 countries),4.95
77,Euro area (13 countries),4.89
78,Euro area (13 countries),4.87
79,Euro area (13 countries),4.8
80,Euro area (13 countries),4.94
81,Euro area (13 countries),5.32
82,Euro area (13 countries),5.28
83,Euro area (13 countries),5.15
84,Belgium,
85,Belgium,5.99
86,Belgium,6.09
87,Belgium,6.02
88,Belgium,5.95
